category,theta,success_rate,avg_kept_relations,avg_kept_relations_min_for_theta,avg_kept_relations_max_for_theta,overall_kept_ratio,overall_kept_ratio_min_for_theta,overall_kept_ratio_max_for_theta,avg_relations_per_object,avg_relations_per_object_min_for_theta,avg_relations_per_object_max_for_theta,avg_relations_per_keyword,avg_relations_per_keyword_min_for_theta,avg_relations_per_keyword_max_for_theta,ope_objects,ope_zero_relation_objects,ope_zero_relation_object_ratio,ope_zero_relation_object_names,urp_keywords,urp_zero_relation_keywords,urp_zero_relation_keyword_ratio,urp_zero_relation_keyword_names,zero_relation_queries,total_relation_queries,zero_relation_query_ratio,zero_relation_terms,relations_kept,relations_total,ope_relations_kept,ope_relations_total,urp_relations_kept,urp_relations_total,_source
explicit_ambiguous,0.65,0.7,154.64249999999998,28.730158730158728,154.64249999999998,1.0,1.0,1.0,17.08,5.444444444444445,17.12269938650307,137.5625,22.25,137.5625,250,60,0.24,ceramic bowl; chili bottle; energy bar; lime soda; rivella; sweet bar,16,0,0.0,,60,266,0.22556390977443608,object:ceramic bowl; object:chili bottle; object:energy bar; object:lime soda; object:rivella; object:sweet bar,6471,6471,4270,4270,2201,2201,threshold_sweep_explicit_ambiguous.json
explicit_ambiguous,0.7,0.5,154.01749999999998,28.730158730158728,154.01749999999998,0.9984546437953948,0.9973718791064389,1.0,17.08,5.444444444444445,17.12269938650307,136.9375,22.25,136.9375,250,60,0.24,ceramic bowl; chili bottle; energy bar; lime soda; rivella; sweet bar,16,0,0.0,,60,266,0.22556390977443608,object:ceramic bowl; object:chili bottle; object:energy bar; object:lime soda; object:rivella; object:sweet bar,6461,6471,4270,4270,2191,2201,threshold_sweep_explicit_ambiguous.json
explicit_ambiguous,0.75,0.8,125.35,25.04,125.35,0.8378921341369185,0.5847568988173456,0.9402092675635276,14.6,4.416666666666667,14.687116564417177,110.75,19.7,110.75,250,60,0.24,ceramic bowl; chili bottle; energy bar; lime soda; rivella; sweet bar,16,0,0.0,,60,266,0.22556390977443608,object:ceramic bowl; object:chili bottle; object:energy bar; object:lime soda; object:rivella; object:sweet bar,5422,6471,3650,4270,1772,2201,threshold_sweep_explicit_ambiguous.json
explicit_ambiguous,0.8,0.9,18.46,3.12,18.46,0.0803585226394684,0.05574912891986063,0.31988041853512705,0.96,0.0,2.5396825396825395,17.5,3.1,17.5,250,190,0.76,7up; apple; butter; carrot; ceramic bowl; chili bottle; chips; coke; corn; counter; egg; energy bar; fridge; lemon; lime soda; rivella; sweet bar; trash can; user,16,3,0.1875,drink; spill; wipe,193,266,0.7255639097744361,keyword:drink; keyword:spill; keyword:wipe; object:7up; object:apple; object:butter; object:carrot; object:ceramic bowl; object:chili bottle; object:chips; object:coke; object:corn; object:counter; object:egg; object:energy bar; object:fridge; object:lemon; object:lime soda; object:rivella; object:sweet bar; object:trash can; object:user,520,6471,240,4270,280,2201,threshold_sweep_explicit_ambiguous.json
explicit_ambiguous,0.85,0.8,2.375,0.0,5.071428571428571,0.0058723535774996135,0.0,0.12556053811659193,0.0,0.0,1.3333333333333333,2.375,0.0,5.071428571428571,250,250,1.0,7up; apple; butter; carrot; ceramic bowl; chili bottle; chips; coke; corn; counter; cup; egg; energy bar; fridge; lemon; lime soda; plate; rivella; sponge; sweet bar; table; tea; trash can; user; water bottle,16,15,0.9375,Snack; chips; drink; fruit; snacks; soda; spill; wipe,265,266,0.9962406015037594,keyword:Snack; keyword:chips; keyword:drink; keyword:fruit; keyword:snacks; keyword:soda; keyword:spill; keyword:wipe; object:7up; object:apple; object:butter; object:carrot; object:ceramic bowl; object:chili bottle; object:chips; object:coke; object:corn; object:counter; object:cup; object:egg; object:energy bar; object:fridge; object:lemon; object:lime soda; object:plate; object:rivella; object:sponge; object:sweet bar; object:table; object:tea; object:trash can; object:user; object:water bottle,38,6471,0,4270,38,2201,threshold_sweep_explicit_ambiguous.json
explicit_unambiguous,0.65,0.8571428571428571,133.3657142857143,28.730158730158728,154.64249999999998,1.0,1.0,1.0,17.08,5.444444444444445,17.12269938650307,116.28571428571429,22.25,137.5625,175,42,0.24,ceramic bowl; chili bottle; energy bar; lime soda; rivella; sweet bar,14,0,0.0,,42,189,0.2222222222222222,object:ceramic bowl; object:chili bottle; object:energy bar; object:lime soda; object:rivella; object:sweet bar,4617,4617,2989,2989,1628,1628,threshold_sweep_explicit_unambiguous.json
explicit_unambiguous,0.7,0.8571428571428571,133.22285714285715,28.730158730158728,154.01749999999998,0.9995668182802686,0.9973718791064389,1.0,17.08,5.444444444444445,17.12269938650307,116.14285714285714,22.25,136.9375,175,42,0.24,ceramic bowl; chili bottle; energy bar; lime soda; rivella; sweet bar,14,0,0.0,,42,189,0.2222222222222222,object:ceramic bowl; object:chili bottle; object:energy bar; object:lime soda; object:rivella; object:sweet bar,4615,4617,2989,2989,1626,1628,threshold_sweep_explicit_unambiguous.json
explicit_unambiguous,0.75,0.7142857142857143,113.95714285714286,25.04,125.35,0.8546675330301061,0.5847568988173456,0.9402092675635276,14.6,4.416666666666667,14.687116564417177,99.35714285714286,19.7,110.75,175,42,0.24,ceramic bowl; chili bottle; energy bar; lime soda; rivella; sweet bar,14,0,0.0,,42,189,0.2222222222222222,object:ceramic bowl; object:chili bottle; object:energy bar; object:lime soda; object:rivella; object:sweet bar,3946,4617,2555,2989,1391,1628,threshold_sweep_explicit_unambiguous.json
explicit_unambiguous,0.8,0.7142857142857143,16.53142857142857,3.12,18.46,0.08360407190816548,0.05574912891986063,0.31988041853512705,0.96,0.0,2.5396825396825395,15.571428571428571,3.1,17.5,175,133,0.76,7up; apple; butter; carrot; ceramic bowl; chili bottle; chips; coke; corn; counter; egg; energy bar; fridge; lemon; lime soda; rivella; sweet bar; trash can; user,14,4,0.2857142857142857,soda; table; water,137,189,0.7248677248677249,keyword:soda; keyword:table; keyword:water; object:7up; object:apple; object:butter; object:carrot; object:ceramic bowl; object:chili bottle; object:chips; object:coke; object:corn; object:counter; object:egg; object:energy bar; object:fridge; object:lemon; object:lime soda; object:rivella; object:sweet bar; object:trash can; object:user,386,4617,168,2989,218,1628,threshold_sweep_explicit_unambiguous.json
explicit_unambiguous,0.85,1.0,5.071428571428571,0.0,5.071428571428571,0.01537795105046567,0.0,0.12556053811659193,0.0,0.0,1.3333333333333333,5.071428571428571,0.0,5.071428571428571,175,175,1.0,7up; apple; butter; carrot; ceramic bowl; chili bottle; chips; coke; corn; counter; cup; egg; energy bar; fridge; lemon; lime soda; plate; rivella; sponge; sweet bar; table; tea; trash can; user; water bottle,14,14,1.0,7up; Apple; Chips; Coke; apple; chips; coke; energy; soda; table; tea; water,189,189,1.0,keyword:7up; keyword:Apple; keyword:Chips; keyword:Coke; keyword:apple; keyword:chips; keyword:coke; keyword:energy; keyword:soda; keyword:table; keyword:tea; keyword:water; object:7up; object:apple; object:butter; object:carrot; object:ceramic bowl; object:chili bottle; object:chips; object:coke; object:corn; object:counter; object:cup; object:egg; object:energy bar; object:fridge; object:lemon; object:lime soda; object:plate; object:rivella; object:sponge; object:sweet bar; object:table; object:tea; object:trash can; object:user; object:water bottle,71,4617,0,2989,71,1628,threshold_sweep_explicit_unambiguous.json
